"","autor","fecha","tweet_id","texto","texto_tokenizado"
"249","Ben Affleck","1607533201","1336717246618546176","Matt and I want to grab lunch with you in LA (once it’s safe to travel) so we partnered with @Omaze to support @EasternCongo &amp; @Water. Enter in the next 48 hours and you’ll also be in the running to score a #GoodWillHunting script book signed by us: https://t.co/vR3eFC5at6","c(""matt"", ""and"", ""want"", ""to"", ""grab"", ""lunch"", ""with"", ""you"", ""in"", ""la"", ""once"", ""it"", ""safe"", ""to"", ""travel"", ""so"", ""we"", ""partnered"", ""with"", ""omaze"", ""to"", ""support"", ""easterncongo"", ""amp"", ""water"", ""enter"", ""in"", ""the"", ""next"", ""hours"", ""and"", ""you"", ""ll"", ""also"", ""be"", ""in"", ""the"", ""running"", ""to"", ""score"", ""goodwillhunting"", ""script"", ""book"", ""signed"", ""by"", ""us"")"
"250","Ben Affleck","1605804921","1329468313831841792","Support the Autumn Snyder Tribute Fund here 👇 https://t.co/QpS7JErtnD","c(""support"", ""the"", ""autumn"", ""snyder"", ""tribute"", ""fund"", ""here"")"
"251","Ben Affleck","1605804575","1329466865383395328","#UsUnited https://t.co/tv88DHJmms","usunited"
"252","Ben Affleck","1604352401","1323376006485270528","Stadiums and arenas across the country are open for early voting. 
Find your closest arena at https://t.co/GqTGn860vL #MakeHistoryHere #VenuesForVoters https://t.co/2XxzOnhNMx","c(""stadiums"", ""and"", ""arenas"", ""across"", ""the"", ""country"", ""are"", ""open"", ""for"", ""early"", ""voting"", ""find"", ""your"", ""closest"", ""arena"", ""at"", ""makehistoryhere"", ""venuesforvoters"")"
"253","Ben Affleck","1604351737","1323373220041428992","This. 👇 https://t.co/BkuxHWFjex","this"
"254","Ben Affleck","1602777602","1316770819645804544","Matt &amp; I are working working with @Omaze to offer you a chance to hang out with us in LA (once it’s safe). All donations will help @EasternCongo &amp; @Water provide resources &amp; support to those in need. 
Enter now at https://t.co/0YMZQlWqX9 https://t.co/jEwFJSzSUv","c(""matt"", ""amp"", ""are"", ""working"", ""working"", ""with"", ""omaze"", ""to"", ""offer"", ""you"", ""chance"", ""to"", ""hang"", ""out"", ""with"", ""us"", ""in"", ""la"", ""once"", ""it"", ""safe"", ""all"", ""donations"", ""will"", ""help"", ""easterncongo"", ""amp"", ""water"", ""provide"", ""resources"", ""amp"", ""support"", ""to"", ""those"", ""in"", ""need"", ""enter"", ""now"", ""at"")"
"255","Ben Affleck","1592938071","1275500836060196864","New York, Kentucky and Virginia - here’s your friendly reminder to get out there and vote. https://t.co/7vpPuV37u6","c(""new"", ""york"", ""kentucky"", ""and"", ""virginia"", ""here"", ""your"", ""friendly"", ""reminder"", ""to"", ""get"", ""out"", ""there"", ""and"", ""vote"")"
"256","Ben Affleck","1591373559","1268938795946147840","Today is Breonna Taylor’s birthday. Here are two actions you can take. See thread below. ⬇️ https://t.co/xqEHuTJe8F","c(""today"", ""is"", ""breonna"", ""taylor"", ""birthday"", ""here"", ""are"", ""two"", ""actions"", ""you"", ""can"", ""take"", ""see"", ""thread"", ""below"", ""⬇️"")"
"257","Ben Affleck","1591313846","1268688340355670016","https://t.co/mHI9Six9GZ","character(0)"
"258","Ben Affleck","1591042786","1267551435425636352","#BlackLivesMatter.
Now is the time for me to listen, learn, and most importantly, take action. https://t.co/HjLDNKJ6G4","c(""blacklivesmatter"", ""now"", ""is"", ""the"", ""time"", ""for"", ""me"", ""to"", ""listen"", ""learn"", ""and"", ""most"", ""importantly"", ""take"", ""action"")"
"259","Ben Affleck","1590075055","1263492476163076096","2021. @ZackSnyder. @HBOMax. #ReleaseTheSnyderCut https://t.co/SxAhzazIRb","c(""zacksnyder"", ""hbomax"", ""releasethesnydercut"")"
"260","Ben Affleck","1588004509","1254807975367020544","Workers on the frontlines of the #coronavirus deserve support. Crisis counseling is free &amp; 24/7 #ForTheFrontlines. Text FRONTLINE to these numbers for support:

🇺🇲 US: Text 741741
🇬🇧 UK: Text 85258
🇨🇦 Canada: Text 741741
🇮🇪 Ireland: Text 086-1800-280

https://t.co/BYwNhmUfEI","c(""workers"", ""on"", ""the"", ""frontlines"", ""of"", ""the"", ""coronavirus"", ""deserve"", ""support"", ""crisis"", ""counseling"", ""is"", ""free"", ""amp"", ""forthefrontlines"", ""text"", ""frontline"", ""to"", ""these"", ""numbers"", ""for"", ""support"", ""🂫🂫"", ""us"", ""text"", ""🂫🂫"", ""uk"", ""text"", ""🂫🂫"", ""canada"", ""text"", ""🂫🂫"", ""ireland"", ""text"")"
"261","Ben Affleck","1586633228","1249056407460036608","@Casey https://t.co/Pj69Rkzq5U","casey"
"262","Ben Affleck","1586627889","1249034012800077824","Our All-in for @FeedingAmerica Poker Tournament is about to begin. We've already raised over $1 million for Feeding America, the nation's largest hunger-relief organization. Tune in now via Twitch to watch along live, and join us in donating ➡ https://t.co/BaP4SZFXU5","c(""our"", ""all"", ""in"", ""for"", ""feedingamerica"", ""poker"", ""tournament"", ""is"", ""about"", ""to"", ""begin"", ""we"", ""ve"", ""already"", ""raised"", ""over"", ""million"", ""for"", ""feeding"", ""america"", ""the"", ""nation"", ""largest"", ""hunger"", ""relief"", ""organization"", ""tune"", ""in"", ""now"", ""via"", ""twitch"", ""to"", ""watch"", ""along"", ""live"", ""and"", ""join"", ""us"", ""in"", ""donating"")"
"263","Ben Affleck","1586541183","1248670344035971072","@Elongo78 @ThatKevinSmith @JayMewes @FeedingAmerica https://t.co/BaP4SZFXU5","c(""elongo"", ""thatkevinsmith"", ""jaymewes"", ""feedingamerica"")"
"264","Ben Affleck","1586539517","1248663354568093696","@Casey Awesome, sending details now","c(""casey"", ""awesome"", ""sending"", ""details"", ""now"")"
"265","Ben Affleck","1586538986","1248661125794684928","@Casey Want to join us?","c(""casey"", ""want"", ""to"", ""join"", ""us"")"
"266","Ben Affleck","1586538005","1248657013145395200","Excited to announce that I have joined forces with @FeedingAmerica to raise money for folks who need it most. Join me and some familiar faces as we face off in a friendly online poker tournament. Watch live tomorrow from 11am PT. 100% of proceeds benefit Feeding America. https://t.co/im3cuWYsCD","c(""excited"", ""to"", ""announce"", ""that"", ""have"", ""joined"", ""forces"", ""with"", ""feedingamerica"", ""to"", ""raise"", ""money"", ""for"", ""folks"", ""who"", ""need"", ""it"", ""most"", ""join"", ""me"", ""and"", ""some"", ""familiar"", ""faces"", ""as"", ""we"", ""face"", ""off"", ""in"", ""friendly"", ""online"", ""poker"", ""tournament"", ""watch"", ""live"", ""tomorrow"", ""from"", ""am"", ""pt"", ""of"", ""proceeds"", ""benefit"", ""feeding"", ""america"")"
"267","Ben Affleck","1585433342","1244023720181510144","If you can, please donate to @yashar’s fund which will directly support hourly workers impacted by the Coronavirus pandemic. https://t.co/s5R4n3iooJ","c(""if"", ""you"", ""can"", ""please"", ""donate"", ""to"", ""yashar"", ""fund"", ""which"", ""will"", ""directly"", ""support"", ""hourly"", ""workers"", ""impacted"", ""by"", ""the"", ""coronavirus"", ""pandemic"")"
